secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
108105,20190315,64881510,SPX,9999,1,32768,,A,,2810.79,2830.73,2810.79,2822.48,0,0.004985,1,0,1
108105,20190318,64881510,SPX,9999,1,32768,,A,,2821.99,2835.41,2822.61,2832.94,0,0.003706,1,0,1
108105,20190319,64881510,SPX,9999,1,32768,,A,,2823.27,2852.42,2840.76,2832.57,0,-0.000131,1,0,1
108105,20190320,64881510,SPX,9999,1,32768,,A,,2812.43,2843.54,2831.34,2824.23,0,-0.002944,1,0,1
108105,20190321,64881510,SPX,9999,1,32768,,A,,2817.38,2860.31,2819.72,2854.88,0,0.010852,1,0,1
108105,20190322,64881510,SPX,9999,1,32768,,A,,2800.47,2846.16,2844.52,2800.71,0,-0.018974,1,0,1
108105,20190325,64881510,SPX,9999,1,32768,,A,,2785.02,2809.79,2796.01,2798.36,0,-0.000839,1,0,1
108105,20190326,64881510,SPX,9999,1,32768,,A,,2803.99,2829.87,2812.66,2818.46,0,0.007183,1,0,1
108105,20190327,64881510,SPX,9999,1,32768,,A,,2787.72,2825.56,2819.72,2805.37,0,-0.004644,1,0,1
108105,20190328,64881510,SPX,9999,1,32768,,A,,2798.77,2819.71,2809.4,2815.44,0,0.003589,1,0,1
108105,20190329,64881510,SPX,9999,1,32768,,A,,2819.23,2836.03,2828.27,2834.4,0,0.006734,1,0,1
108105,20190401,64881510,SPX,9999,1,32768,,A,,2848.63,2869.4,2848.63,2867.19,0,0.011569,1,0,1
108105,20190402,64881510,SPX,9999,1,32768,,A,,2858.75,2872.9,2868.24,2867.24,0,0.000017,1,0,1
108105,20190403,64881510,SPX,9999,1,32768,,A,,2865.17,2885.25,2876.09,2873.4,0,0.002148,1,0,1
108105,20190404,64881510,SPX,9999,1,32768,,A,,2867.14,2881.28,2873.99,2879.39,0,0.002085,1,0,1
108105,20190405,64881510,SPX,9999,1,32768,,A,,2882.99,2893.24,2884.16,2892.74,0,0.004636,1,0,1
108105,20190408,64881510,SPX,9999,1,32768,,A,,2880.78,2895.95,2888.46,2895.77,0,0.001047,1,0,1
108105,20190409,64881510,SPX,9999,1,32768,,A,,2873.33,2886.88,2886.58,2878.2,0,-0.006067,1,0,1
108105,20190410,64881510,SPX,9999,1,32768,,A,,2879.13,2889.71,2881.37,2888.21,0,0.003478,1,0,1
108105,20190411,64881510,SPX,9999,1,32768,,A,,2881.99,2893.42,2891.92,2888.32,0,0.000038,1,0,1
108105,20190412,64881510,SPX,9999,1,32768,,A,,2898.37,2910.54,2900.86,2907.41,0,0.006609,1,0,1
108105,20190415,64881510,SPX,9999,1,32768,,A,,2896.48,2909.6,2908.32,2905.58,0,-0.000629,1,0,1
108105,20190416,64881510,SPX,9999,1,32768,,A,,2900.71,2916.06,2912.26,2907.06,0,0.000509,1,0,1
108105,20190417,64881510,SPX,9999,1,32768,,A,,2895.45,2918,2916.04,2900.45,0,-0.002274,1,0,1
108105,20190418,64881510,SPX,9999,1,32768,,A,,2891.9,2908.4,2904.81,2905.03,0,0.001579,1,0,1
108105,20190422,64881510,SPX,9999,1,32768,,A,,2896.35,2909.51,2898.78,2907.97,0,0.001012,1,0,1
108105,20190423,64881510,SPX,9999,1,32768,,A,,2908.53,2936.31,2909.99,2933.68,0,0.008841,1,0,1
108105,20190424,64881510,SPX,9999,1,32768,,A,,2926.05,2936.83,2934,2927.25,0,-0.002192,1,0,1
108105,20190425,64881510,SPX,9999,1,32768,,A,,2912.84,2933.1,2928.99,2926.17,0,-0.000369,1,0,1
108105,20190426,64881510,SPX,9999,1,32768,,A,,2917.56,2939.88,2925.81,2939.88,0,0.004685,1,0,1
108105,20190429,64881510,SPX,9999,1,32768,,A,,2939.35,2949.52,2940.58,2943.03,0,0.001072,1,0,1
108105,20190430,64881510,SPX,9999,1,32768,,A,,2924.11,2948.22,2937.14,2945.83,0,0.000951,1,0,1
108105,20190501,64881510,SPX,9999,1,32768,,A,,2923.36,2954.13,2952.33,2923.73,0,-0.007502,1,0,1
108105,20190502,64881510,SPX,9999,1,32768,,A,,2900.5,2931.68,2922.16,2917.52,0,-0.002124,1,0,1
